No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,contactBinary,detachedBinary,dsct,t2Cep,All
5000 < 5100,t2Cep,0,0,0,0,0,0,0,0,0,2,2
5100 < 5200,RRab,0,0,7,0,0,0,0,0,0,0,7
5100 < 5200,RRc,0,0,1,8,0,0,0,0,0,0,9
5200 < 5300,RRab,0,0,4,0,0,0,0,0,0,0,4
5200 < 5300,RRc,0,0,0,4,0,0,0,0,0,0,4
5200 < 5300,t2Cep,0,0,0,0,0,0,0,0,0,1,1
5300 < 5400,RRab,0,0,11,1,0,0,0,0,0,0,12
5300 < 5400,RRc,0,0,0,5,0,0,0,0,0,0,5
5400 < 5500,RRab,0,0,9,0,0,0,0,0,0,0,9
5400 < 5500,RRc,0,0,0,7,0,0,0,0,0,0,7
5500 < 5600,RRab,0,0,13,0,0,0,0,0,0,0,13
5500 < 5600,RRc,0,0,0,8,0,0,0,0,0,0,8
5500 < 5600,t2Cep,1,0,0,0,0,0,0,0,0,2,3
5600 < 5700,RRab,0,0,39,1,0,0,0,0,0,0,40
5600 < 5700,RRc,0,0,2,16,0,0,0,0,0,0,18
5600 < 5700,t2Cep,0,0,1,0,0,0,0,0,0,1,2
5700 < 5800,RRab,0,0,74,0,0,0,0,0,0,0,74
5700 < 5800,RRc,0,0,1,25,0,0,0,0,0,0,26
5700 < 5800,t2Cep,0,0,0,0,0,0,0,0,0,3,3
5800 < 5900,RRab,0,0,125,2,0,0,0,0,0,0,127
5800 < 5900,RRc,0,0,0,48,0,0,0,0,0,0,48
5800 < 5900,clasCep,0,0,1,0,0,0,0,0,0,0,1
5800 < 5900,t2Cep,0,0,1,0,0,0,1,0,0,12,14
5900 < 6000,RRab,0,0,326,1,0,0,0,0,0,0,327
5900 < 6000,RRc,0,0,2,144,0,0,0,0,0,0,146
5900 < 6000,t2Cep,0,0,3,0,0,0,1,0,0,13,17
600 < 700,Mira,380,0,0,0,0,0,0,0,0,0,380
600 < 700,OSARG,0,43,0,0,0,0,0,0,0,0,43
600 < 700,RRab,0,0,470,12,0,0,1,1,0,0,484
600 < 700,RRc,0,0,11,167,0,0,0,0,0,1,179
600 < 700,SRV,1,0,0,0,338,0,0,0,0,0,339
600 < 700,clasCep,0,0,2,0,0,1326,0,0,0,1,1329
